Title,Input,Device Type,Input Specs,Local user,Remote user,UI/UX,Visual,Haptic,Auditory,Remarks,Collab Style,Video,Publication,Year,Month,Citation,PubType,Application,Thumb
An oriented point-cloud view for MR remote collaboration,Point Clouds,HHD,Point clouds,VR,VR,Awareness + UI/UX,,,,Both VR equipped with kinect cameras and both point cloud stitched together before transmit,,,SIGGRAPH,2016,Nov,19,System,immersive collaboration,0
Static local environment capturing and sharing for MR remote collaboration,Image,HHD,,VR,VR,Awareness,,,,Both VR equipped with kinect cameras and both point cloud stitched together before transmit,,,SIGGRAPH,2017,Nov,8,System,immersive collaboration,0
The Effect of Collaboration Styles and View Independence on Video-Mediated Remote Collab,Panorama Image,HHD,,,,Awareness + UI/UX,,,,emotion,,,CSCW,2018,Dec,24,,,0
Dollhouse VR: A Multi-view Multi-user Collaborative Design Workspace with VR Technology,3D Scene,HMD,A HMD (Oculus lift DK2) and a large interactive tabletop display (Iiyama ProLite T2735MSC) are connected to the laptop computer which shows the immersive view to the HMD and the top-down view to the tabletop display,,,UI/UX,,,,haptic,n→1,,SIGGRAPH,2015,Nov,71,System,collaborative design,0
Augmented reality system based on hand gestures for remote maintenance,Video,SAR,,,,UI/UX,,,,,,,ICMCS,2014,Apr,13,,,0
HandsInTouch: Sharing Gestures in Remote Collaboration,Panorama Video,HHD,,,,UI/UX,,,,,,,OzCHI,2018,Dec,4,,,0
Hybrid team interaction in the mixed reality continuum,,HHD,,,,Awareness + UI/UX,,,,,,,VRST,2016,Nov,3,,,0
Webizing Collaborative Interaction Space for Cross Reality with Various Human Interface Device,Point Clouds,HHD,,,,UI/UX,,,,,,,Web3D,2018,Jun,2,,,0
Immersive Tangible Geospatial Modeling,Point Clouds,HHD,,,,UI/UX,,,,,,,SIGSPATIAL,2016,Oct,18,,,0
Development of collaborative workspace system using hand gesture.,Point Clouds,HHD,,,,UI/UX,,,,,,,GCCE,2016,Oct,1,,,0
Collaborative Magic Lens Graph Exploration,Video,HHD,,,,UI/UX,,,,,,,SIGGRAPH,2015,Nov,6,System,immersive learning,0
Empowerment and Embodiment for Collaborative MR System,360 Video,HHD,,,,Awareness + UI/UX,,,,,,,CAVW,2018,May,6,,,0
Remote MR system supporting interactions with virtualized objects,Image,HHD,,,,UI/UX,,,,,,,ISMAR,2015,Sep,7,,,0
Empathic Mixed Reality Sharing What You Feel and Interacting with What You See,Video,HHD,,,,UI/UX,,,,,,,ISUVR,2017,Jun,18,,,0
Exploring enhancements for remote mixed reality collaboration.,Video,HHD,,,,Awareness + UI/UX,,,,,,,SIGGRAPH,2017,Nov,48,Method,immersive collaboration,0
A Hand-based Collaboration Framework in Egocentric Coexistence Reality,360 Video,HHD,,,,UI/UX,,,,,,,URAI,2015,Oct,6,,,0
Workspace Awareness in Collaborative AR using HMDs: A User Study Comparing Audio and Visual Notifications,Video,HHD,,,,Awareness + UI/UX,,,,,,,AH,2016,Feb,11,,,0
Embodied Navigation in Immersive Abstract Data Visualization: Is Overview+Detail or Zooming Better for 3D Scatterplots?,,,,,,,,,,,,,InfoVis ,2020,Aug,1,,,
Augmented VR,3D Scene,HMD,headmounted displays (VR) or tablet laptops (AR).  blending the real within the virtual focusing on capturing actual human,,,,,,,,,https://www.youtube.com/watch?v=7O_TrhtmP5Q,IEEE VR,2018,Aug,5,System,immersive collaboration,
Design and Assessment of a Collaborative 3D Interaction Technique for Handheld Augmented Reality,,HHD,,,,,,,,,,https://www.youtube.com/watch?v=vJPk_-l-Cvw,IEEE VR,2018,Mar,14,System,collaborative design,
The Impact of Avatar Personalization and Immersion on Virtual Body Ownership Presence and Emotional Response,3D Scene,HMD,avatar creation pipeline combines full-body scanning and face scanning. two scanners consist of custom-built rigs of 40 cameras (full body) and 8 cameras (face).  HMD HTC Vive device,,,,,,,,,,TVCG,2018,Jan,87,User Study,collaborative interaction,
Haptic-go-round: A Surrounding Platform for Encounter-type Haptics in Virtual Reality Experiences,,HMD,,,,,,,,,1→0,https://www.youtube.com/watch?v=AvB4rxwzbmE,CHI,2020,Apr,2,Platform,collaborative interaction,
3DGAM: using 3D gesture and CAD models for training on mixed reality remote collaboration,,,,,,,,,,,,,MTAP,2020,Sep,0,,,
Visualisation strategies for environmental modelling data,,,,,,,,,,,,,EES,2014,Nov,32,,,
MEVA - An Interactive Visualization Application for Validation of Multifaceted Meteorological Data with Multiple 3D Devices,,,,,,,,,,,,,PLOS ONE,2015,Apr,14,,,
GeoVReality:A computational interactive virtual reality visualization framework and workflow for geophysical research,,,,,,,,,,,,,PEPI,2020,Jan,1,,,
A collaborative environment for offshore engineering simulations,,,,,,,,,,,,,CRIWG,2011,Oct,2,,,
Collaborative Hybrid Virtual Environment,3D Scene,HMD,ARToolkit SDK and one user uses egocentric view while the other uses exocentric view,,,,,,,,,https://www.youtube.com/watch?v=wBZ3Lf7_drc,3DUI,2016,Mar,6,,,
Collaborative 3D Manipulation using Mobile Phones,3D Scene,HHD,Android-based mobile devices with inertial sensors; touchscreen and WiFi connection. a server computer and a screen (preferably large),,,,,,,,,https://www.youtube.com/watch?v=RydDRe88Eao,3DUI,2016,Mar,4,,,
When the Giant meets the Ant An Asymmetric Approach for Collaborative Object Manipulation,3D Scene,HMD,HTC Vive / combination of Oculus Rift/Razer Hydra for the Ant and desktop environment/Google Cardboard for the spectator.,,,,,,,,,https://www.youtube.com/watch?v=Yp130VMMLQI,3DUI,2016,Mar,4,,,
Collaborative Manipulation of 3D Virtual Objects in Augmented Reality Scenarios using Mobile Devices,Video,HHD,mobile devices with rear camera touchscreen and WiFi connection and a table with image patterns for tracking.,,,,,,,,,https://www.youtube.com/watch?v=lXSAkIIv9e0,3DUI,2017,Mar,4,,,
A Collaborative Virtual Reality Escape Room with Passive Haptics,3D Scene,HMD,HTC Vive and Leap Motion,,,,,,,,1⇄1,https://www.youtube.com/watch?v=qwyVEyEUxEA,IEEE VR,2019,Mar,0,System,immersive collaboration,
Show me your living room: investigating the role of representing user environments in AR remote consultations,3D Scene,HMD,on-site user wearing an AR HMD,,,,,,,,,https://www.youtube.com/watch?v=weAgBLCdDbQ,MUC,2020,Sep,1,,,
A new AR Interaction for Collaborative E-maintenance System,,,,,,,,,,,,,IFAC ,2013,Jan,7,,,
Can Visualisation Improve Remote Collaboration,,,,,,,,,,,,,IFAC ,2007,Jan,0,,,
Deep learning-based smart task assistance in wearable augmented reality,,,,,,,,,,,,,RCIM,2020,Jun,4,,,
Help! I Need a Remote Guide in My Mixed Reality Collaborative Environment,,,,,,,,,,,,,Front Robot AI,2019,Nov,0,Method,immersive collaboration,
How Foot Tracking Matters The Impact of an Animated Self Avatar on Interaction Embodiment and Presence in Shared Virtual Environments,,,,,,,,,,,,,Front Robot AI,2019,Oct,4,User Study,collaborative interaction,
Comparing Human Factors for Augmented Reality Supported Single-User and Collaborative Repair Operations of Industrial Robots,,,,,,,,,,,,,Front Robot AI,2019,May,2,User Study,social interaction,
A Comparison Between Two Different Approaches for a Collaborative Mixed-Virtual Environment in Industrial Maintenance,,,,,,,,,,,,,Front Robot AI,2019,Mar,9,User Study,immersive collaboration,
Cyber Security Threats and Challenges in Collaborative Mixed-Reality,,,,,,,,,,,,,Front Robot AI,2019,Apr,4,Survey,immersive collaboration,
Intermediated Reality: A Framework for Communication Through Tele-Puppetry,,,,,,,,,,,,,Front Robot AI,2019,Jul,1,Platform,collaborative interaction,
Corrigendum: A Comparison Between Two Different Approaches for a Collaborative Mixed-Virtual Environment in Industrial Maintenance,,,,,,,,,,,,,Front Robot AI,2019,Mar,9,User Study,immersive collaboration,
Collaboration Face-to-Face and in Virtual Reality - Empathy Social Closeness and Task Load,,,,,,,,,,,,,CSCW,2019,Nov,0,,,
The Togetherness that We Crave: Experiencing Social VR in Long Distance Relationships,,,,,,,,,,,,,CSCW,2019,Nov,2,,,
Collaborative Augmented Reality,,,,,,,,,,,,,CACM,2002,Jul,548,,,
Collaborative augmented reality in education,,,,,,,,,,,,,ISIS,2003,Feb,300,,,
Role of immersive visualization tools in renewable energy system development,,,,,,,,,,,,,RSER,2019,Nov,5,,,
Analyzing the potential of Virtual Reality for engineering design review,,,,,,,,,,,,,AUTCON,2019,Aug,33,,,
Collaborative visual SLAM for multiple agents:A brief survey,,,,,,,,,,,,,VRIH,2019,Oct,2,,,
Immersive collaborative environments for teaching and learning traditional design,,,,,,,,,,,,,PROCEDIA,2012,Jan,18,,,
Real-Time manufacturing optimization with a simulation model and virtual reality,,,,,,,,,,,,,PROCEDIA,2019,Jan,0,,,
Human-Robot-Interfaces based on Mixed Reality for Underwater Robot Teleoperation,,,,,,,,,,,,,MCMC,2012,Jan,9,,,
Visualization of indoor thermal environment on mobile devices based onaugmented reality and computationalfluid dynamics,,,,,,,,,,,,,AUTCON,2019,Jul,9,,,
Using Holograms for visualizing and interacting with educational content in a Teaching Factory,,,,,,,,,,,,,PROCEDIA,2019,Jan,5,,,
Augmented reality in support of intelligent manufacturing - A systematic literature review,,,,,,,,,,,,,CAIE,2020,Feb,16,,,
View Splicing for Effective VR Collaboration,,,,,,,,,,,,,ISMAR,2020,Aug,0,,,
CollaVR: Collaborative in-headset review for VR video,360 Video,HMD,,,,,,,,,,,UIST,2017,Oct,30,System,immersive collaboration,
Immersive Group-to-Group Telepresence,3D Scene,HMD,,,,,,,,,,,TVCG,2013,Mar,195,System,immersive collaboration,
ElectroVR: An Electrostatic Playground for Collaborative Simulation-Based Exploratory Learning in Immersive Virtual Reality,,,,,,,,,,,,,ISLS,2019,Jun,1,,,
TagAlong: Informal Learning from a Remote Companion with Mobile Perspective Sharing,,,,,,,,,,,,,CELDA,2015,Oct,3,,,
CoCoVerse: Multi-User Framework for Collaboration and Co-Creation in Virtual Reality,,,,,,,,,,,,https://youtu.be/4XJtOBM0r_0,CSCL,2019,Jun,24,,,
Investigating Social Presence and Communication with Embodied Avatars in Room-Scale Virtual Reality,,,,,,,,,,,,,ILRN,2017,Jun,20,,,
3D-board: a whole-body remote collaborative whiteboard,,,,,,,,,,,,https://youtu.be/2D5JeNeq3Kg,UIST,2014,Oct,31,System,collaborative interaction,
Photoportals: Shared References in Space and Time,,,,,,,,,,,,,CSCW,2014,Feb,35,,,
Collaborators Awareness for User Cohabitation in Co-located Collaborative Virtual Environments,,,,,,,,,,,,,VRST,2017,Nov,15,,,
Effects of Avatar and Background Representation Forms to Co-Presence in Mixed Reality (MR) Tele-conference Systems,,,,,,,,,,,,,SIGGRAPH,2016,Nov,14,User Study,social interaction,
Effects of Avatar and Background Types on Users Co-presence and Trust for Mixed Reality-Based Teleconference Systems,,,,,,,,,,,,,CASA,2017,Nov,13,,,
AnnoScape: Remote Collaborative Review Using Live Video Overlay in Shared 3D Virtual Workspace,,,,,,,,,,,,,SUI,2014,Oct,9,,,
MuVR: A Multi-user Virtual Reality Platform,,,,,,,,,,,,,IEEE VR,2014,Mar,23,Platform,immersive collaboration,
ShareVR: Enabling Co-Located Experiences for Virtual Reality between HMD and Non-HMD Users,3D Scene,HMD,,,,,,,,,,https://www.youtube.com/watch?v=cQxArK3Bu9M,CHI,2017,May,119,Technology,collaborative interaction,
Second Surface: Multi-user Spatial Collaboration System based on Augmented Reality,Video,HHD,,,,,,,,,,,SIGGRAPH,2012,Nov,56,System,collaborative interaction,
Room2Room: Enabling Life-Size Telepresence in a Projected Augmented Reality Environment,Video,SAR,,,,,,,,,,,CSCW,2016,Feb,90,,,
World-stabilized Annotations and Virtual Scene Navigation for Remote Collaboration,Video,HHD,,,,,,,,,,https://www.youtube.com/watch?v=wURXdhi4SdA,UIST,2014,Oct,143,System,immersive collaboration,
Comparing Remote Gesture Technologies for Supporting Collaborative Physical Tasks,,HMD,,,,,,,,,,,CHI,2006,Apr,130,User Study,immersive collaboration,
LiveSphere: Sharing the Surrounding Visual Environment for Immersive Experience in Remote Collaboration,360 Video,HMD,,,,,,,,,,,TEI,2015,Jan,18,,,
CollaboVR: A Reconfigurable Framework for Creative Collaboration in Virtual Reality,3D Scene,HMD,,,,,,,,,,,ISMAR,2020,Aug,0,,,
Go together: providing nonverbal awareness cues to enhance co-located sensation in remote communication,,,,,,,,,,,,,HCIS,2019,Dec,2,,,
Multiple full-body tracking for interaction and navigation in social VR,,,,,,,,,,,,,CHI,2020,Jul,0,System,social interaction,
Lets Get in Touch! Adding Haptics to Social VR,,HMD,,,,,,,,,,,IMX,2020,Jun,0,,,
RoleVR: Multi-experience in immersive virtual reality between co-located HMD and non-HMD users,3D Scene,HMD,,,,,,,,,,,MTAP,2020,Jan,5,,,
SceneCam - Improving Multi-Camera Remote Collaboration using Augmented Reality,,,,,,,,,,,,https://www.youtube.com/watch?v=Vq0Xphfqn2w,ISMAR,2019,Oct,0,,,
JackIn space: designing a seamless transition between first and third person view for effective telepresence collaborations,Point Clouds,HMD,,,,,,,,,,https://www.youtube.com/watch?v=eXHUVTp2HNo,AH,2017,Mar,26,,,
BeThere: 3D Mobile Collaboration with Spatial Input,Point Clouds,HHD,,,,,,,,,,https://www.youtube.com/watch?v=3wVFcrowS74,CHI,2013,Apr,130,System,immersive collaboration,
TeleAdvisor: A Versatile Augmented Reality Tool for Remote Assistance,Video,SAR,,,,,,,,,,https://www.youtube.com/watch?v=mNBmE2hqR28,CHI,2012,May,106,System,teleoperation,
XRDirector: A Role-Based Collaborative Immersive Authoring System,3D Scene,HMD,,,,,,,,,,https://www.youtube.com/watch?v=mMp_hzLp3Yc,CHI,2020,Apr,2,System,collaborative design,
The Impact of Remote Users Role in a Mixed Reality Mixed Presence System,3D Scene,HMD,,,,,,,,,,,VRCAI,2019,Nov,1,,,
An Interactive Demonstration of Collaborative VR for Laparoscopic Liver Surgery Training,3D Scene,HMD,,,,,,,,,,,AIVR,2019,Dec,1,,,
Spatial Social Media: Towards Collaborative Mixed Reality Telepresence On The Go,Panorama Video,HMD,,,,,,,,,,,CHI,2018,Apr,2,System,immersive collaboration,
ReactSpace: Spatial-Aware User Interactions for Collocated Social Live Streaming Experiences,Panorama Video,HMD,,,,,,,,,,,SMC,2018,Oct,1,,,
Spotility: Crowdsourced Telepresence for Social and Collaborative Experiences in Mobile Mixed Reality,Panorama Image,HMD,,,,,,,,,,,CSCW,2018,Oct,1,,,
Immersive visualization training of radiotherapy treatment,,,,,,,,,,,,,MMVR,2005,Jan,24,,,
Haptic Collaboration with Augmented Reality,,,,,,,,,,,,,SIGGRAPH,2004,Aug,14,System,collaborative interaction,
2.5DHANDS: a gesture-based MR remote collaborative platform,,,,,,,,,,,,,IJAMT,2019,Sep,15,,,
Using Projected Light for Mobile Remote Guidance,Panorama Image,,,,,,,,,,,,CSCW,2015,Oct,12,,,
Enabling Physical Telework with Spatial Augmented Reality,,,,,,,,,,,,,SIGGRAPH,2014,Jul,1,Technology,teleoperation,
Visualization of Off-Surface 3D Viewpoint Locations in Spatial Augmented Reality,Video,SAR,,,,,,,,,,,CHI,2013,Jul,13,System,immersive collaboration,
Applications of networked virtual reality for tele-operation and tele-assistance systems in the mining industry,,,,,,,,,,,,,VRCAI,2011,Dec,4,,,
Annotating with Sticky Light for Remote Guidance,Video,HMD,,,,,,,,,,,SIGGRAPH,2010,Dec,10,System,collaborative interaction,
Annotating with Light for Remote Guidance,Video,SAR,,,,,,,,,,,CHI,2007,Nov,34,System,immersive collaboration,
Using Collaborative Haptics in Remote Surgical Training,,,,,,,,,,,,,CHI,2005,Mar,82,Method,healthcare,
Trans-World Haptic Collaboration ,Video,SAR,,,,,,,,,,,SIGGRAPH,2003,Jul,17,Method,collaborative interaction,
TransceiVR: Bridging Asymmetrical Communication Between External and VR Users,3D Scene,HMD,,,,,,,,,,https://www.youtube.com/watch?v=U9kOvVOx2sw,UIST,2020,Oct,0,User Study,collaborative interaction,
Applications of networked virtual reality for tele-operation and tele-assistance systems in the mining industry,Video,SAR,,,,,,,,,,,VRCAI ,2011,Dec,4,,,
Mechanics of camera work in mobile video collaboration,Video,HHD,,,,,,,,,,,CHI,2015,Apr,15,User Study,social interaction,
Interaction in a collaborative Augmented Reality environment,Video,HMD,,,,,,,,,,,CHI,2002,Apr,81,System,immersive collaboration,
Mobile collaborative augmented reality,Video,HMD,,,,,,,,,,,ISMAR,2001,Oct,176,System,immersive collaboration,
Mathematics and geometry education with collaborative augmented reality,,,,,,,,,,,,,SIGGRAPH,2002,Jul,769,Platform,healthcare,
Collaborative Augmented Reality for Inorganic Chemistry Education,,,,,,,,,,,,,WSEAS,2008,Jul,89,,,
Mobile collaborative augmented reality: The augmented stroll,,,,,,,,,,,,,IFIP,2001,May,58,,,
The virtual round table - a collaborative augmented multi-user environment,,,,,,,,,,,,,CVE,2000,Sep,92,,,
Storytelling in collaborative augmented reality environments,,,,,,,,,,,,,CVE,2003,Jul,45,,,
Visuo-Haptic Collaborative Augmented Reality Ping-Pong,,,,,,,,,,,,,ACE,2007,Jun,58,,,
Remote collaboration using augmented reality videoconferencing,,,,,,,,,,,,,GI,2004,May,67,,,
Multi-user interaction in collaborative augmented reality for urban simulation,,,,,,,,,,,,,ICMV,2009,Dec,2,,,
Do you see what i see? the effect of gaze tracking on task space remote collaboration,,,,,,,,,,,,,TVCG,2016,Jul,60,User Study,social interaction,
TactileVR: Integrating Physical Toys into Learn and Play Virtual Reality Experiences,,,,,,,,,,,,,ISMAR,2016,Sep,13,,,
ImmerseBoard: Immersive Telepresence Experience using a Digital Whiteboard,Video,SAR,,,,,,,,,,https://www.youtube.com/watch?v=TCU1Ifr5VUc,CHI,2015,Apr,36,System,immersive collaboration,
Encountered-type haptic display for large VR environment using per-plane reachability maps,,,,,,,,,,,,https://www.youtube.com/watch?v=vY-pf2g7xC0,CAVW,2018,Mar,11,,,
Can Eye Help You? Effects of Visualizing Eye Fixations on Remote Collaboration Scenarios for Physical Tasks,,,,,,,,,,,,https://www.youtube.com/watch?v=c3MiUOxwmKs,CHI,2016,May,61,User Study,social interaction,
GazeTorch: Enabling Gaze Awareness in Collaborative Physical Tasks,,,,,,,,,,,,https://www.youtube.com/watch?v=7kLJRDKm4iE,CHI,2016,May,25,Technology,collaborative interaction,
Ownership and control of point of view in remote assistance,,,,,,,,,,,,https://www.youtube.com/watch?v=9mSeFb0GHiw,CHI,2013,Apr,28,User Study,collaborative interaction,
Perspective on and Re-orientation of Physical Proxies in Object-Focused Remote Collaboration,,,,,,,,,,,,https://www.youtube.com/watch?v=sfxTHsPJWHY,CHI,2018,Apr,4,Technology,teleoperation,
Physical telepresence: shape capture and display for embodied computer-mediated remote collaboration,,,,,,,,,,,,https://www.youtube.com/watch?v=QtyO-oFlzGg,UIST,2014,Oct,124,Method,immersive collaboration,
Mobile collaborative augmented reality with real-time AR/VR switching,,,,,,,,,,,,,SIGGRAPH,2015,Jul,1,Platform,collaborative interaction,
CLEV-R: a collaborative learning environment with virtual-reality,,,,,,,,,,,,,SIGGRAPH,2004,Aug,1,Technology,healthcare,
MagicMeeting: A Collaborative Tangible Augmented Reality System,,,,,,,,,,,,,VR,2002,Oct,142,,,
3D teleimmersion for collaboration and interaction of geographically distributed users,,,,,,,,,,,,,VR,2013,Mar,45,,,
Remote collaboration in virtual reality: asymmetrical effects of task distribution on spatial processing and mental workload,,,,,,,,,,,,,VR,2016,Nov,25,,,
Co-presence collaboration and control in environmental studies,,,,,,,,,,,,,VR,2009,Jan,12,,,
Evaluating the effects of frame of reference on spatial collaboration using desktop collaborative virtual environments,,,,,,,,,,,,,VR,2004,Jun,19,,,
Experiments with Face-To-Face Collaborative AR Interfaces,,,,,,,,,,,,,VR,2002,Oct,80,,,
Carpeno: interfacing remote collaborative virtual environments with table-top interaction,,,,,,,,,,,,,VR,2006,Oct,36,,,
A model for nonverbal interaction cues in collaborative virtual environments,,,,,,,,,,,,,VR,2019,Dec,0,,,
Social viewing in cinematic virtual reality: a design space for social movie applications,,,,,,,,,,,,,VR,2020,Oct,0,,,
The design and realization of CoViD: a system for collaborative virtual 3D design,,,,,,,,,,,,,VR,2006,Jul,26,,,
The combination of visual communication cues in mixed reality remote collaboration,,,,,,,,,,,,,JMUI,2020,Dec,2,,,
Augmented 3D hands: a gesture-based mixed reality system for distributed collaboration,,,,,,,,,,,,,JMUI,2018,Jun,21,,,
Avatar: Enabling Immersive Collaboration via Live Mobile Video,,,,,,,,,,,,,AltMM,2018,Oct,0,,,
Maps Around Me: 3D Multiview Layouts in Immersive Spaces,,,,,,,,,,,,,PACM HCI,2020,Nov,1,,,
Comparative Effectiveness of Mixed Reality Based Virtual Environments in Collaborative Design,,,,,,,,,,,,,IEEE SMCS,2011,Jan,51,,,
Hand-in-Hand: A Communication-Enhancement Collaborative Virtual Reality System for Promoting Social Interaction in Children with Autism Spectrum Disorders,,,,,,,,,,,,,IEEE HMS,2015,Jan,15,,,
Virtual Reality Conferencing: Multi-user immersive VR experiences on the web,,,,,,,,,,,,,MMSys,2018,Feb,16,,,
360Anywhere: Mobile Ad-hoc Collaboration in Any Environment using 360 Video and Augmented Reality,,,,,,,,,,,,https://www.youtube.com/watch?v=f3GMEgWVC9g,PACM HCI,2018,Mar,6,,,
SketchSpace: Designing Interactive Behaviors with Passive Materials,,,,,,,,,,,,,CHI,2011,May,13,System,collaborative design,
LoOkie - It Feels Like Being There,,,,,,,,,,,,,CHI,2011,May,1,System,collaborative design,
Evaluating an Automatic Rotation Feature in Collaborative Tabletop Workspaces,,,,,,,,,,,,,CHI,2011,May,5,User Study,immersive collaboration,
Prezi Meeting: Collaboration in a Zoomable Canvas Based Environment,,,,,,,,,,,,,CHI,2011,May,15,Technology,immersive collaboration,
Collaborative VR Painting in Web Browsers,,,,,,,,,,,,,SIGGRAPH,2017,Nov,4,,,
Mobile Collaborative Augmented Reality with Real-time AR/VR switching,,,,,,,,,,,,,SIGGRAPH ,2015,Jul,1,,,
CoVAR: Mixed-Platform Remote Collaborative Augmented and Virtual Realities System with Shared Collaboration Cues,,,,,,,,,,,,,ISMAR,2017,Oct,12,,,
Social Presence with Virtual Glass ,,,,,,,,,,,,,IEEE VR,2015,Sep,1,Technology,collaborative interaction,
Immersive 3D Environment for Remote Collaboration and Training of Physical Activities,,,,,,,,,,,,,IEEE VR,2008,Nov,52,User Study,immersive learning,
Multimodal Multi-user Human-Robot Interface for Virtual Collaboration,,,,,,,,,,,,,URAI,2012,Nov,1,,,
The Collaborative Virtual Reality Neurorobotics Lab,,,,,,,,,,,,,IEEE VR,2019,Mar,3,Platform,teleoperation,
Industry and academia collaboration in the design of virtual reality applications for rehabilitation,,,,,,,,,,,,,IEEE VR,2017,Jun,3,System,healthcare,
Immersive Telepresence and Remote Collaboration using Mobile and Wearable Devices,,,,,,,,,,,,,TVCG,2019,May,15,System,immersive collaboration,
Collaborative Data Analytics Using Virtual Reality,,,,,,,,,,,,,IEEE VR,2019,Mar,3,System,immersive visualization,
ReliveInVR: Capturing and Reliving Virtual Reality Experiences Together,,,,,,,,,,,,,IEEE VR,2019,Mar,2,Method,social interaction,
CoOL-Room: Collaboration Oriented Learning Room,,,,,,,,,,,,,IEEE VR,2004,Mar,2,System,immersive learning,
Towards Effective Interaction with Omnidirectional Videos Using Immersive Virtual Reality Headsets,,,,,,,,,,,,,AH,2015,Mar,37,,,
Gesture Keyboard with a Machine Learning Requiring Only One Camera,,,,,,,,,,,,,AH,2012,Mar,10,,,
EXILE: Experience based Interactive Learning Environment,,,,,,,,,,,,,AH,2016,Feb,4,,,
Come alive! Augmented Mobile Interaction with Smart Hair,,,,,,,,,,,,,AH,2016,Feb,2,,,
DreamHouse: NUI-based Photo-realistic AR Authoring System for Interior Design,,,,,,,,,,,,,AH,2016,Feb,8,,,
Supporting Precise Manual-handling Task using Visuo-haptic Interaction,,,,,,,,,,,,,AH,2016,Feb,3,,,
CASPER: A Haptic Enhanced Telepresence Exercise System for Elderly People,,,,,,,,,,,,,AH,2016,Feb,4,,,
Prospero: A Personal Wearable Memory Coach,,,,,,,,,,,,,AH,2019,Mar,1,,,
AVATAREX: Telexistence System based on Virtual Avatar,,,,,,,,,,,,,AH,2018,Mar,6,,,
Hands on Hitchcock: Embodied Reference to a Moving Scene,,,,,,,,,,,,,CHI,2011,May,15,System,collaborative interaction,
Now I Have a Body: Uses and Social Norms for Mobile Remote Presence in the Workplace,,,,,,,,,,,,,CHI,2011,May,200,User Study,social interaction,
Zoom Cameras and Movable Displays Enhance Social Telepresence,,,,,,,,,,,,,CHI,2011,May,65,Technology,immersive collaboration,
Face to face collaborative AR on mobile phones,,,,,,,,,,,,,ISMAR,2005,May,339,System,immersive collaboration,
SceneCam: Using AR to improve Multi-Camera Remote Collaboration,,,,,,,,,,,,,SIGGRAPH,2019,May,0,System,collaborative design,
VR SandScape,,,,,,,,,,,,,CHI,2020,Nov,0,Platform,immersive collaboration,
Multi-view VR system for co-located multidisciplinary collaboration and its application in ergonomic design,,,,,,,,,,,,,VRST,2017,Nov,1,,,
CollabAR - Investigating the Mediating Role of Mobile AR Interfaces on Co-Located Group Collaboration,,,,,,,,,,,,,CHI,2020,Nov,0,User Study,collaborative interaction,
PhyShare: Sharing Physical Interaction in Virtual Reality,,,,,,,,,,,,,UIST,2017,Oct,17,System,teleoperation,
Collaborative Virtual Reality for Low-Latency Interaction,,,,,,,,,,,,,UIST,2018,Nov,7,System,collaborative interaction,
HyPhIVE : A Hybrid Virtual-Physical Collaboration Environment,,,,,,,,,,,,,CHI,2010,Dec,2,System,collaborative interaction,
An Interactive Demonstration of Collaborative VR for Laparoscopic Liver Surgery Training,,,,,,,,,,,,,AIVR,2019,Jan,1,,,
XRDirector: A Role-Based Collaborative Immersive Authoring System,,,,,,,,,,,,,CHI,2020,Feb,2,Method,collaborative interaction,
Go-Through: Disabling Collision to Access Obstructed Paths and Open Occluded Views in Social VR,,,,,,,,,,,,,AH,2020,Apr,0,,,
Metamorphic A Social VR Experience,,,,,,,,,,,,,SIGGRAPH,2020,May,0,Technology,collaborative design,
DTLens: Multi-user Tabletop Spatial Data Exploration,,,,,,,,,,,,,UIST,2005,Oct,131,User Study,immersive collaboration,
PlayAnywhere: A Compact Interactive Tabletop Projection-Vision System,,,,,,,,,,,,,UIST,2005,Oct,512,System,immersive collaboration,
Multi-user interaction using handheld projectors,,,,,,,,,,,,,UIST,2007,Oct,178,System,immersive collaboration,
A Design Space Analysis of Availability-Sharing Systems,,,,,,,,,,,,,UIST,2011,Oct,26,System,collaborative design,
KinectFusion: real-time 3D reconstruction and interaction using a moving depth camera,,,,,,,,,,,,,UIST,2011,Oct,2228,Technology,immersive collaboration,
SideBySide: Ad-hoc Multi-user Interaction with Handheld Projectors,,,,,,,,,,,,,UIST,2011,Oct,115,System,immersive collaboration,
LiveSphere: Immersive Experience Sharing with 360 degrees Head-mounted Cameras,,,,,,,,,,,,,UIST,2014,Oct,19,System,immersive collaboration,
RoomAlive: Magical Experiences Enabled by Scalable Adaptive Projector-Camera Units,,,,,,,,,,,,https://www.youtube.com/watch?v=ILmuuDjm5h4,UIST,2014,Oct,276,System,collaborative interaction,
GravitySpot: Guiding Users in Front of Public Displays Using On-Screen Visual Cues,,,,,,,,,,,,,UIST,2015,Nov,29,System,collaborative interaction,
Virtual Replicas for Remote Assistance in Virtual and Augmented Reality,,,,,,,,,,,,https://www.youtube.com/watch?v=eMWdgB6upeU,UIST,2015,Nov,85,System,social interaction,
Multi-Device Storyboards for Cinematic Narratives in VR,,,,,,,,,,,,https://www.youtube.com/watch?v=KYKyqCsmMAU,UIST,2016,Nov,34,System,collaborative interaction,
ImAxes: Immersive Axes as Embodied Affordances for Interactive Multivariate Data Visualisation,,,,,,,,,,,,https://www.youtube.com/watch?v=hxqJJ934Reg,UIST,2017,Oct,88,System,immersive visualization,
